RoundLeft,participant,date,expName,psychopyVersion,OS,frameRate,inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,left,right,rawFixations,repeats,points,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ic_trials.thisRepN,ic_trials.thisTrialN,ic_trials.thisN,ic_trials.thisIndex,ic_trials.ran,path
TRUE,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,space,2.5761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,0.41796875,-0.078125,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.21875,-0.444010417,1,0,0,calibration_square,0,0,0,15,1,0.22,-0.44,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,-0.434895833,0.00390625,1,0,0,calibration_square,0,1,1,2,1,-0.44,0,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.223958333,0.001302083,1,0,0,calibration_square,0,2,2,17,1,0.22,0,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,-0.00390625,0.23046875,1,0,0,,0,3,3,13,1,0,0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.665364583,0.001302083,1,0,0,calibration_square,0,4,4,31,1,0.66,0,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.22265625,0.221354167,1,0,0,calibration_square,0,5,5,18,1,0.22,0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,-0.4296875,0.44140625,1,0,0,,0,6,6,4,1,-0.44,0.44,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.278645833,-0.0859375,0,0,0,,0,7,7,23,1,0.44,0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.278645833,-0.0859375,0,0,0,,0,8,8,6,1,-0.22,-0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.37890625,-0.256510417,0,0,0,,0,9,9,33,1,0.66,0.44,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.37890625,-0.256510417,0,0,0,,0,10,10,10,1,0,-0.44,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.37890625,-0.256510417,0,0,0,,0,11,11,29,1,0.66,-0.44,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.37890625,-0.256510417,0,0,0,,0,12,12,22,1,0.44,0,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.37890625,-0.256510417,0,0,0,,0,13,13,11,1,0,-0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,-0.213541667,0.216145833,1,0,0,calibration_square,0,14,14,8,1,-0.22,0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,-0.436197917,0.217447917,1,0,0,calibration_square,0,15,15,3,1,-0.44,0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.66015625,0.217447917,1,0,0,calibration_square,0,16,16,32,1,0.66,0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,0.438802083,-0.21875,1,0,0,calibration_square,0,17,17,21,1,0.44,-0.22,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,-0.213541667,0.440104167,1,0,0,calibration_square,0,18,18,9,1,-0.22,0.44,,,,,,,,,,,,,,,,,,
,58be2fc3bfc0f4000179f3c5,2023-07-19_22h45.15.560,prioq-eyetrack,2023.1.2,Linux x86_64,59.97001499,,,,,,,,-0.212239583,-0.436197917,1,0,0,calibration_square,0,19,19,5,1,-0.22,-0.44,,,,,,,,,,,,,,,,,,
