RoundLeft,participant,date,expName,psychopyVersion,OS,frameRate,inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,left,right,rawFixations,repeats,points,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ic_trials.thisRepN,ic_trials.thisTrialN,ic_trials.thisN,ic_trials.thisIndex,ic_trials.ran,path,ic_trials.order
TRUE,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,space,3.8536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,0.560413728,0.029026031,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.442731617,-0.217604687,1,0,0,calibration_square,0,0,0,1,1,-0.44,-0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.661862409,-0.007169427,1,0,0,calibration_square,0,1,1,31,1,0.66,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.007771301,0.11148255,0,0,0,,0,2,2,17,1,0.22,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.691330973,-0.240483545,0,0,0,,0,3,3,30,1,0.66,-0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.669620994,-0.228304093,1,0,0,,0,4,4,19,1,0.22,0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.111317613,-0.25705459,0,0,0,,0,5,5,5,1,-0.22,-0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.217208636,-0.00090236,0,0,0,,0,6,6,7,1,-0.22,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.217208636,-0.001169219,1,0,0,,0,7,7,24,1,0.44,0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.454872866,-0.206173763,0,0,0,,0,8,8,21,1,0.44,-0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.655174199,-0.21854395,1,0,0,calibration_square,0,9,9,26,1,-0.66,-0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.222704004,0.219610963,1,0,0,calibration_square,0,10,10,8,1,-0.22,0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006172406,0.220741074,0,0,0,,0,11,11,13,1,0,0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006172406,0.220741074,0,0,0,,0,12,12,15,1,0.22,-0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006172406,0.220741074,0,0,0,,0,13,13,20,1,0.44,-0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006172406,0.220741074,0,0,0,,0,14,14,18,1,0.22,0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.660099849,0.214188357,0,0,0,,0,15,15,32,1,0.66,0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.658926618,0.426007349,0,0,0,,0,16,16,33,1,0.66,0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.395856787,0.349516099,0,0,0,,0,17,17,4,1,-0.44,0.44,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.399652269,0.132295255,0,0,0,,0,18,18,28,1,-0.66,0.22,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.437238849,-0.007254763,1,0,0,calibration_square,0,19,19,2,1,-0.44,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,-0.662046786,-0.005884354,0,0,0,,0,20,20,27,1,-0.66,0,,,,,,,,,,,,,,,,,,,
,606a3cf263a18869ac8ee0ed,2023-07-19_22h53.03.529,prioq-eyetrack,2023.1.2,Linux x86_64,60.0528465,,,,,,,,0.006213266,-0.443369321,1,0,0,calibration_square,0,21,21,10,1,0,-0.44,,,,,,,,,,,,,,,,,,,
