RoundLeft,participant,date,expName,psychopyVersion,OS,frameRate,inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,calibrationClick.clicked_name,left,right,rawFixations,repeats,points,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ic_trials.thisRepN,ic_trials.thisTrialN,ic_trials.thisN,ic_trials.thisIndex,ic_trials.ran,path
TRUE,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,space,4.9519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,0.217828751,-0.245682796,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,-0.224386732,0.206418137,1,0,0,0,0,0,8,1,-0.22,0.22,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,0.214608828,-0.444822232,1,0,0,0,1,1,15,1,0.22,-0.44,calibration_square,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,0.230255683,0.204907954,1,0,0,0,2,2,18,1,0.22,0.22,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,-0.20550251,-0.008246144,1,0,0,0,3,3,7,1,-0.22,0,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,-0.660702268,-0.442672491,1,0,0,0,4,4,25,1,-0.66,-0.44,calibration_square,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,-0.438163797,0.208456933,1,0,0,0,5,5,3,1,-0.44,0.22,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,0.219721476,0.443365996,1,0,0,0,6,6,19,1,0.22,0.44,calibration_square,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,0.013011138,0.220631103,1,0,0,0,7,7,13,1,0,0.22,,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,-0.228457292,0.437096963,1,0,0,0,8,8,9,1,-0.22,0.44,calibration_square,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,0.650737286,-0.441308975,1,0,0,0,9,9,29,1,0.66,-0.44,calibration_square,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,0.445319335,0.435092305,1,0,0,0,10,10,24,1,0.44,0.44,calibration_square,,,,,,,,,,,,,,,,,,
,62896076149e8f156545884c,2023-07-19_22h57.38.210,prioq-eyetrack,2023.1.2,Linux x86_64,59.96641881,,,,,,,,-0.215199232,-0.444652398,1,0,0,0,11,11,5,1,-0.22,-0.44,calibration_square,,,,,,,,,,,,,,,,,,
