RoundLeft,participant,date,expName,psychopyVersion,OS,frameRate,inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationClick.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,left,right,rawFixations,repeats,points,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ic_trials.thisRepN,ic_trials.thisTrialN,ic_trials.thisN,ic_trials.thisIndex,ic_trials.ran,path
FALSE,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,space,5.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,-0.101851852,-0.100925926,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,-0.22037037,0.449074074,1,0,0,calibration_square,0,0,0,9,1,-0.22,0.44,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.02037037,-0.133333333,0,0,0,,0,1,1,11,1,0,-0.22,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,-0.664814815,-0.436111111,1,0,0,calibration_square,0,2,2,25,1,-0.66,-0.44,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,-0.212037037,-0.215740741,1,0,0,calibration_square,0,3,3,6,1,-0.22,-0.22,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.227777778,0.436111111,1,0,0,calibration_square,0,4,4,19,1,0.22,0.44,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.012037037,0.442592593,1,0,0,,0,5,5,14,1,0,0.44,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.431481481,0.000925926,1,0,0,calibration_square,0,6,6,22,1,0.44,0,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,-0.216666667,-0.450925926,1,0,0,,0,7,7,5,1,-0.22,-0.44,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.232407407,-0.231481481,1,0,0,,0,8,8,16,1,0.22,-0.22,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,-0.440740741,0.222222222,1,0,0,calibration_square,0,9,9,3,1,-0.44,0.22,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,-0.20462963,-0.005555556,1,0,0,,0,10,10,7,1,-0.22,0,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.001851852,-0.003703704,1,0,0,calibration_square,0,11,11,12,1,0,0,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.435185185,-0.433333333,1,0,0,calibration_square,0,12,12,20,1,0.44,-0.44,,,,,,,,,,,,,,,,,,
,6290348d34fa735379392d3f,2023-07-19_20h47.19.109,prioq-eyetrack,2023.1.2,Win32,59.79073244,,,,,,,,0.001851852,0.210185185,1,0,0,calibration_square,0,13,13,13,1,0,0.22,,,,,,,,,,,,,,,,,,
