RoundLeft,participant,date,expName,psychopyVersion,OS,frameRate,inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,calibrationClick.clicked_name,left,right,rawFixations,repeats,points,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,ic_trials.thisRepN,ic_trials.thisTrialN,ic_trials.thisN,ic_trials.thisIndex,ic_trials.ran,path
FALSE,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,space,4.7641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,0.041666667,-0.148148148,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,0.232407407,-0.22037037,1,0,0,0,0,0,16,1,0.22,-0.22,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,-0.425,-0.007407407,1,0,0,0,1,1,2,1,-0.44,0,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,0.201851852,0.437962963,1,0,0,0,2,2,19,1,0.22,0.44,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,-0.666666667,0.011111111,1,0,0,0,3,3,27,1,-0.66,0,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,-0.232407407,-0.424074074,1,0,0,0,4,4,5,1,-0.22,-0.44,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,-0.217592593,-0.219444444,1,0,0,0,5,5,6,1,-0.22,-0.22,calibration_square,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,0.45,0.009259259,1,0,0,0,6,6,22,1,0.44,0,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,0.219444444,0.009259259,1,0,0,0,7,7,17,1,0.22,0,calibration_square,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,0.673148148,-0.007407407,1,0,0,0,8,8,31,1,0.66,0,,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,-0.656481481,-0.225925926,1,0,0,0,9,9,26,1,-0.66,-0.22,calibration_square,,,,,,,,,,,,,,,,,,
,62bd1d1283b326cde10cf27a,2023-07-19_23h39.36.784,prioq-eyetrack,2023.1.2,Win32,59.87306909,,,,,,,,-0.002777778,0.45462963,1,0,0,0,10,10,14,1,0,0.44,,,,,,,,,,,,,,,,,,,
