Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64b887f092ee8510b60b7d65,5b745fb794c93d00010fc4c6,AWAITING REVIEW,2023-07-20T01:03:49.204000Z,2023-07-20T01:27:47.986000Z,,2023-07-20T01:27:49.652499Z,1439,NOCODE,2331,47,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
64b88ba7f98f120ff1be9a97,622ab357bb3af819f2e5df3b,AWAITING REVIEW,2023-07-20T01:19:41.186000Z,2023-07-20T02:31:09.441000Z,,2023-07-20T02:31:10.130154Z,4289,938A5AE7,1679,58,Male,White,United States,United States,United States,English,No,Part-Time
64b88d424bf46413a7be9a9c,5e88dd7a0febe805d3a120b6,AWAITING REVIEW,2023-07-20T01:26:34.457000Z,2023-07-20T02:10:12.146000Z,,2023-07-20T02:10:12.629568Z,2618,NOCODE,894,44,Female,White,United States,United States,United States,English,No,Full-Time
64b88ebf8dcd8157c931e0b7,63e5b96c546f7b99d7d44c89,AWAITING REVIEW,2023-07-20T01:32:51.517000Z,2023-07-20T02:52:39.482000Z,,2023-07-20T02:52:39.960239Z,4788,938A5AE7,173,30,Male,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b88f3e1474fd32af0b7d6b,5e3f46919eec8d1a04b6880f,AWAITING REVIEW,2023-07-20T01:34:58.049000Z,2023-07-20T01:56:30.428000Z,,2023-07-20T01:56:30.942516Z,1293,NOCODE,624,35,Female,White,United States,United States,United States,English,Yes,Part-Time
64b88f9eb312143102421478,6283e1c0021bbb06c7748609,AWAITING REVIEW,2023-07-20T01:36:38.612000Z,2023-07-20T01:57:44.944000Z,,2023-07-20T01:57:45.441608Z,1267,NOCODE,489,21,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b8909cb41e1bdbbd87f50a,63de2e4a0c6fd41343f82a79,AWAITING REVIEW,2023-07-20T01:40:49.386000Z,2023-07-20T02:55:03.525000Z,,2023-07-20T02:55:04.038802Z,4455,938A5AE7,158,31,Female,White,United States,United States,United States,English,No,Full-Time
64b891d61c9607cc3dc0f672,5ff7c0aca2b5844e7af63fc4,AWAITING REVIEW,2023-07-20T01:46:01.389000Z,2023-07-20T02:38:59.102000Z,,2023-07-20T02:38:59.600495Z,3178,NOCODE,2886,38,Male,White,United States,United States,United States,English,No,Full-Time
64b892c8413514a9d4915e10,5eaf2b7e05ff7862e21e9d3b,AWAITING REVIEW,2023-07-20T01:50:04.026000Z,2023-07-20T02:28:26.335000Z,,2023-07-20T02:28:26.992915Z,2303,938A5AE7,4212,44,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64b892cac228ccf60461d692,55595b70fdf99b387ae30d2b,AWAITING REVIEW,2023-07-20T01:50:11.569000Z,2023-07-20T02:19:22.924000Z,,2023-07-20T02:19:23.431747Z,1752,938A5AE7,3611,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b893520c31889b10ba4f72,5c04872c55614800012b7cf0,AWAITING REVIEW,2023-07-20T01:58:15.986000Z,2023-07-20T02:24:59.455000Z,,2023-07-20T02:24:59.966168Z,1604,938A5AE7,1285,25,Female,White,United States,United States,United States,English,No,Full-Time
64b893b60f1229b266c0f646,6110b886c05e819d26986dd1,AWAITING REVIEW,2023-07-20T01:56:15.671000Z,2023-07-20T02:23:27.882000Z,,2023-07-20T02:23:28.517114Z,1633,938A5AE7,306,20,Female,Other,United States,United States,United States,English,Yes,DATA_EXPIRED
64b893c1a72480a36cb016c7,5ed9bbb5b8c16356b385a96f,AWAITING REVIEW,2023-07-20T01:54:37.178000Z,2023-07-20T02:20:38.479000Z,,2023-07-20T02:20:39.052080Z,1562,NOCODE,79,23,Male,White,United States,United States,United States,English,No,Full-Time
64b893d2ed616bf02a421496,5e26341c63251a881e185ecf,AWAITING REVIEW,2023-07-20T01:57:13.579000Z,2023-07-20T02:21:02.550000Z,,2023-07-20T02:21:03.110053Z,1429,NOCODE,1643,50,Female,White,United States,United States,United States,English,No,Part-Time
64b894137307a0262fbeaaae,6093ffebbc25c98167fe09e5,AWAITING REVIEW,2023-07-20T01:55:43.280000Z,2023-07-20T02:29:15.875000Z,,2023-07-20T02:29:16.345395Z,2013,NOCODE,4,26,Female,Asian,United States,United States,United States,English,Yes,Full-Time
64b8943fa51ac349d3421470,59d9d9cd8fd07a0001842484,AWAITING REVIEW,2023-07-20T01:56:15.831000Z,2023-07-20T03:03:38.164000Z,,2023-07-20T03:03:38.652863Z,4043,938A5AE7,1592,29,Male,Mixed,United States,United States,United States,English,No,Full-Time
64b894bf0b19f59dc4230c04,60528358827e88148642cfeb,AWAITING REVIEW,2023-07-20T01:58:27.767000Z,2023-07-20T02:42:53.337000Z,,2023-07-20T02:42:53.798901Z,2666,938A5AE7,481,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b8954b520888de6edf4a69,62e9731465fb490879d942c7,AWAITING REVIEW,2023-07-20T02:00:45.889000Z,2023-07-20T02:21:22.773000Z,,2023-07-20T02:21:23.305591Z,1237,NOCODE,1512,33,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b895a633de97361bb25052,603ee4c2bd61ee1a08fd6a8a,AWAITING REVIEW,2023-07-20T02:02:18.908000Z,2023-07-20T02:24:57.540000Z,,2023-07-20T02:24:58.013510Z,1359,938A5AE7,1709,37,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b896a1c1cff311a3230c0d,5f2f6bd965964e35e20c7445,AWAITING REVIEW,2023-07-20T02:06:49.115000Z,2023-07-20T02:50:00.711000Z,,2023-07-20T02:50:01.219564Z,2592,NOCODE,1052,55,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b89704e662492609c0f65b,60fcf7102d7c9907d95a0920,AWAITING REVIEW,2023-07-20T02:08:14.545000Z,2023-07-20T02:38:35.266000Z,,2023-07-20T02:38:35.831523Z,1821,NOCODE,428,25,Female,White,United States,United States,United States,English,Yes,Part-Time
64b8974fda7f2a1905fc246c,6491d720871d9f5e16eafb93,AWAITING REVIEW,2023-07-20T02:09:36.925000Z,2023-07-20T02:41:12.899000Z,,2023-07-20T02:41:13.424119Z,1896,NOCODE,140,19,Female,White,United States,United States,United States,English,Yes,Part-Time
64b89845d4007472134912d3,610c24152939c927ad421fa9,AWAITING REVIEW,2023-07-20T02:13:40.206000Z,2023-07-20T02:35:35.024000Z,,2023-07-20T02:35:35.590098Z,1315,NOCODE,698,30,Female,White,United States,United States,United States,English,No,Full-Time
64b898a9d27d71bcf5abb41a,5f9e612e5e10814115cc780d,AWAITING REVIEW,2023-07-20T02:15:19.594000Z,2023-07-20T02:54:49.366000Z,,2023-07-20T02:54:49.839819Z,2370,938A5AE7,2787,49,Male,White,United States,United States,United States,English,No,Other
64b898c6427f072176abb437,6486327282b82fce27a06a5d,AWAITING REVIEW,2023-07-20T02:15:45.373000Z,2023-07-20T02:50:31.251000Z,,2023-07-20T02:50:31.779114Z,2086,NOCODE,168,53,Female,Other,United States,United States,United States,English,No,Part-Time
64b898ea7aa08f15ddc0f6a2,5da20df461471f0014bb184e,AWAITING REVIEW,2023-07-20T02:16:37.667000Z,2023-07-20T02:35:46.588000Z,,2023-07-20T02:35:47.273174Z,1149,938A5AE7,1073,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b898fd1547ac12cf6cb447,5de33ff0cc246f3633dc01d2,AWAITING REVIEW,2023-07-20T02:16:34.936000Z,2023-07-20T04:03:35.363000Z,,2023-07-20T04:03:35.870639Z,6421,938A5AE7,4479,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b89920a6f345adefba4f64,633e6a1349fdb14001eee810,AWAITING REVIEW,2023-07-20T02:17:09.568000Z,2023-07-20T02:51:59.699000Z,,2023-07-20T02:52:00.243965Z,2091,NOCODE,395,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b89938670a1716c8f7f82e,6003ef9269c7814f0ca7b46a,AWAITING REVIEW,2023-07-20T02:23:42.873000Z,2023-07-20T03:06:40.946000Z,,2023-07-20T03:06:41.549405Z,2579,938A5AE7,1220,35,Male,DATA_EXPIRED,Philippines,United States,United States,English,No,DATA_EXPIRED
64b899472391046200a6189f,5d09895e65eb3400189cc207,AWAITING REVIEW,2023-07-20T02:23:50.620000Z,2023-07-20T03:36:26.756000Z,,2023-07-20T03:36:27.217877Z,4357,938A5AE7,765,37,Female,Black,United States,United States,United States,English,No,Full-Time
64b899802391046200a618aa,6484ed9b2a50c7bbdb9e92c6,AWAITING REVIEW,2023-07-20T02:19:12.336000Z,2023-07-20T02:43:05.355000Z,,2023-07-20T02:43:05.886891Z,1434,NOCODE,117,24,Female,White,United States,United States,United States,English,Yes,Part-Time
64b89a4cf1b554ea26abf558,5d1b0776e1c05200018b582d,AWAITING REVIEW,2023-07-20T02:27:23.905000Z,2023-07-20T03:50:12.739000Z,,2023-07-20T03:50:13.275545Z,4969,938A5AE7,653,35,Female,Other,United States,United States,United States,English,No,Full-Time
64b89a7cc0bc662be586be1c,5d63f9cd26a2ac001758c70d,AWAITING REVIEW,2023-07-20T02:23:08.219000Z,2023-07-20T03:24:15.052000Z,,2023-07-20T03:24:15.720681Z,3667,938A5AE7,1249,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b89b268dec4391b0260ff6,5c2cb3b41f8ea700015c44f0,AWAITING REVIEW,2023-07-20T02:25:47.325000Z,2023-07-20T02:54:24.776000Z,,2023-07-20T02:54:25.257091Z,1718,938A5AE7,1590,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b89b8fd2ff5696c6abf538,5fc30c35704ddd267cc9123f,AWAITING REVIEW,2023-07-20T02:27:37.704000Z,2023-07-20T03:04:58.458000Z,,2023-07-20T03:04:59.036145Z,2241,938A5AE7,2958,36,Female,White,United States,United States,United States,English,No,Full-Time
64b89c60947509d0660d0160,62e0694f2df985fd601c85de,AWAITING REVIEW,2023-07-20T02:31:02.367000Z,2023-07-20T02:57:20.183000Z,,2023-07-20T02:57:20.761364Z,1578,NOCODE,331,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b89c751ddc67d08fbb927b,57c725d89a5f4f0001f661bd,AWAITING REVIEW,2023-07-20T02:31:35.796000Z,2023-07-20T03:08:15.307000Z,,2023-07-20T03:08:15.796298Z,2200,938A5AE7,2851,49,Male,White,United States,United States,United States,English,No,Full-Time
64b89c80f2fdfa46575715ce,634628e1fb755d3adb009a70,AWAITING REVIEW,2023-07-20T02:32:05.227000Z,2023-07-20T03:26:02.907000Z,,2023-07-20T03:26:03.404475Z,3238,NOCODE,1492,35,Male,White,United States,United States,United States,English,No,Full-Time
64b89cb9ceafec40398f5c9c,58be2fc3bfc0f4000179f3c5,AWAITING REVIEW,2023-07-20T02:32:25.392000Z,2023-07-20T03:02:17.627000Z,,2023-07-20T03:02:18.102297Z,1793,NOCODE,3599,52,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64b89cd4586a4f8688df4a38,62896076149e8f156545884c,AWAITING REVIEW,2023-07-20T02:41:19.816000Z,2023-07-20T03:46:04.610000Z,,2023-07-20T03:46:06.851908Z,3885,938A5AE7,2332,DATA_EXPIRED,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
64b89d04cfc274349387f503,5bd0607192f92c0001f84021,AWAITING REVIEW,2023-07-20T02:33:45.278000Z,2023-07-20T03:05:38.464000Z,,2023-07-20T03:05:38.952808Z,1914,NOCODE,1645,38,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64b89d14ca7f7b76d11e0fc6,64135efbd2ef675b8e179a21,AWAITING REVIEW,2023-07-20T02:35:04.346000Z,2023-07-20T03:09:16.920000Z,,2023-07-20T03:09:17.380648Z,2053,NOCODE,896,58,Female,White,United States,United States,United States,English,No,Full-Time
64b89d5fca7f7b76d11e0fd3,5a2adf6a8e00a000019864fb,AWAITING REVIEW,2023-07-20T02:36:30.003000Z,2023-07-20T02:58:34.380000Z,,2023-07-20T02:58:34.912332Z,1325,NOCODE,2749,40,Male,White,United States,United States,United States,English,No,Full-Time
64b89d9169dba249f5421452,62bdadf07a2fd70b3257e791,AWAITING REVIEW,2023-07-20T02:36:01.613000Z,2023-07-20T03:02:04.693000Z,,2023-07-20T03:02:05.165661Z,1564,NOCODE,1874,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64b89d93c86fd2620a623019,5f3d42de03555c0832cbef73,AWAITING REVIEW,2023-07-20T02:36:55.654000Z,2023-07-20T03:02:58.500000Z,,2023-07-20T03:03:02.114717Z,1563,938A5AE7,1174,21,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64b89d9419dfa1a826e9d5ea,62bdc30224534809032cf056,AWAITING REVIEW,2023-07-20T02:36:04.984000Z,2023-07-20T03:17:31.495000Z,,2023-07-20T03:17:32.008653Z,2487,938A5AE7,3876,33,Male,Asian,India,United States,United States,English,No,Full-Time
