PROLIFIC_PID,IPAddress,stai,income,education,age,Dim.1,Dim.2
NA,NA,64,4,6,29,NA,NA
NA,74.67.45.4,29,7,6,33,NA,NA
NA,163.123.222.62,53,11,5,36,NA,NA
NA,45.41.224.54,57,4,6,46,NA,NA
NA,77.111.246.37,48,2,3,21,NA,NA
NA,171.61.144.100,35,3,5,29,NA,NA
NA,73.138.89.99,23,4,6,36,NA,NA
NA,208.203.212.69,49,5,5,35,NA,NA
NA,138.185.5.54,64,5,5,46,NA,NA
NA,206.54.198.154,26,5,4,31,NA,NA
NA,68.13.241.158,56,7,2,31,NA,NA
NA,63.75.240.67,51,6,5,26,NA,NA
NA,216.250.251.132,51,3,5,50,NA,NA
NA,147.124.213.125,47,10,5,37,NA,NA
NA,154.13.48.89,51,9,5,48,NA,NA
NA,196.17.64.50,48,2,6,31,NA,NA
NA,70.179.46.77,50,3,3,28,NA,NA
NA,157.46.89.216,40,5,5,39,NA,NA
NA,72.166.30.2,55,9,5,35,NA,NA
NA,179.246.214.50,50,1,2,19,NA,NA
NA,196.17.66.1,35,5,5,26,NA,NA
NA,208.203.212.104,43,3,6,42,NA,NA
NA,155.186.221.48,50,5,3,47,NA,NA
NA,170.75.155.45,48,4,5,25,NA,NA
NA,207.255.130.97,57,1,5,35,NA,NA
NA,23.226.29.82,52,8,6,21,NA,NA
NA,162.210.148.102,44,6,5,41,NA,NA
NA,71.58.90.56,70,7,6,34,NA,NA
NA,216.173.101.122,51,8,5,64,NA,NA
NA,47.135.5.14,30,4,5,31,NA,NA
NA,186.212.74.191,34,5,3,30,NA,NA
NA,104.251.223.218,46,8,6,33,NA,NA
NA,65.190.245.108,21,3,5,39,NA,NA
NA,98.242.38.121,31,6,4,33,NA,NA
NA,73.225.165.65,NA,NA,NA,NA,NA,NA
NA,179.183.181.192,NA,NA,NA,NA,NA,NA
NA,73.34.51.238,NA,NA,NA,NA,NA,NA
NA,208.195.16.14,NA,NA,NA,NA,NA,NA
NA,23.177.176.73,NA,NA,NA,NA,NA,NA
NA,208.203.212.158,NA,NA,NA,NA,NA,NA
NA,75.41.166.226,NA,NA,NA,NA,NA,NA
NA,208.195.27.229,NA,NA,NA,NA,NA,NA
NA,45.41.224.31,NA,NA,NA,NA,NA,NA
NA,163.123.220.16,NA,NA,NA,NA,NA,NA
NA,108.175.178.141,NA,NA,NA,NA,NA,NA
NA,24.95.181.46,NA,NA,NA,NA,NA,NA
NA,49.37.220.86,NA,NA,NA,NA,NA,NA
NA,163.123.220.121,NA,NA,NA,NA,NA,NA
NA,68.110.70.163,NA,NA,NA,NA,NA,NA
NA,196.17.65.9,NA,NA,NA,NA,NA,NA
NA,140.228.29.40,NA,NA,NA,NA,NA,NA
NA,198.14.24.126,NA,NA,NA,NA,NA,NA
NA,49.204.131.67,NA,NA,NA,NA,NA,NA
NA,200.229.27.116,NA,NA,NA,NA,NA,NA
NA,98.10.58.230,NA,NA,NA,NA,NA,NA
NA,208.203.211.45,NA,NA,NA,NA,NA,NA
NA,72.178.230.17,NA,NA,NA,NA,NA,NA
NA,155.186.221.48,NA,NA,NA,NA,NA,NA
NA,63.75.242.21,NA,NA,NA,NA,NA,NA
NA,196.17.66.1,NA,NA,NA,NA,NA,NA
NA,73.51.6.27,NA,NA,NA,NA,NA,NA
NA,163.123.221.71,NA,NA,NA,NA,NA,NA
NA,102.129.217.62,NA,NA,NA,NA,NA,NA
NA,185.169.252.156,NA,NA,NA,NA,NA,NA
NA,170.75.148.239,NA,NA,NA,NA,NA,NA
NA,73.228.109.186,NA,NA,NA,NA,NA,NA
NA,66.154.98.150,NA,NA,NA,NA,NA,NA
NA,157.49.252.210,NA,NA,NA,NA,NA,NA
NA,216.47.34.57,NA,NA,NA,NA,NA,NA
NA,104.251.223.196,NA,NA,NA,NA,NA,NA
NA,45.90.222.51,NA,NA,NA,NA,NA,NA
NA,82.79.3.154,NA,NA,NA,NA,NA,NA
NA,98.242.38.121,NA,NA,NA,NA,NA,NA
5c3cc65bfcb87600014b707a,71.47.201.194,30,7,4,44,1.4605782438007406,-3.3133762961467577
5e68194d69f4cf0d24341331,169.237.235.65,30,9,5,29,0.5180807486525933,1.3026911965471502
